/opt/conda/lib/python3.7/site-packages/hydra/core/utils.py:207: UserWarning: 
Using config_path to specify the config name is deprecated, specify the config name via config_name
See https://hydra.cc/docs/next/upgrades/0.11_to_1.0/config_path_changes
  warnings.warn(category=UserWarning, message=msg)
2021-06-11 13:24:33.698408: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Successfully opened dynamic library libcudart.so.11.0
Epoch:1, Train loss:0.5272, Time:1.3978989124298096s
Epoch:2, Train loss:0.3511, Time:0.29698872566223145s
Epoch:3, Train loss:0.3162, Time:0.2866067886352539s
Epoch:4, Train loss:0.2985, Time:0.2976338863372803s
Epoch:5, Train loss:0.2864, Time:0.38094305992126465s
Epoch:6, Train loss:0.2781, Time:0.4050943851470947s
Epoch:7, Train loss:0.2721, Time:0.3897407054901123s
Epoch:8, Train loss:0.2671, Time:0.39585304260253906s
Epoch:9, Train loss:0.2624, Time:0.39788103103637695s
Epoch:10, Train loss:0.2581, Time:0.39518094062805176s
Epoch:11, Train loss:0.2546, Time:0.39838528633117676s
Epoch:12, Train loss:0.2528, Time:0.38419198989868164s
Epoch:13, Train loss:0.2499, Time:0.39441967010498047s
Epoch:14, Train loss:0.2473, Time:0.39261913299560547s
Epoch:15, Train loss:0.2453, Time:0.397111177444458s
Epoch:16, Train loss:0.2437, Time:0.3941018581390381s
Epoch:17, Train loss:0.2419, Time:0.3966529369354248s
Epoch:18, Train loss:0.2403, Time:0.3973524570465088s
Epoch:19, Train loss:0.2392, Time:0.40229272842407227s
Epoch:20, Train loss:0.2379, Time:0.4016585350036621s
Epoch:21, Train loss:0.2360, Time:0.39731907844543457s
Epoch:22, Train loss:0.2352, Time:0.40308308601379395s
Epoch:23, Train loss:0.2347, Time:0.40477752685546875s
Epoch:24, Train loss:0.2332, Time:0.39634108543395996s
Epoch:25, Train loss:0.2323, Time:0.39125776290893555s
Epoch:26, Train loss:0.2316, Time:0.399752140045166s
Epoch:27, Train loss:0.2305, Time:0.3930203914642334s
Epoch:28, Train loss:0.2297, Time:0.400601863861084s
Epoch:29, Train loss:0.2288, Time:0.3926427364349365s
Epoch:30, Train loss:0.2284, Time:0.3952600955963135s
Epoch:31, Train loss:0.2272, Time:0.4025566577911377s
Epoch:32, Train loss:0.2272, Time:0.4005427360534668s
Epoch:33, Train loss:0.2262, Time:0.3938455581665039s
Epoch:34, Train loss:0.2262, Time:0.3979511260986328s
Epoch:35, Train loss:0.2253, Time:0.39496278762817383s
Epoch:36, Train loss:0.2244, Time:0.4002232551574707s
Epoch:37, Train loss:0.2243, Time:0.39709925651550293s
Epoch:38, Train loss:0.2239, Time:0.3674008846282959s
Epoch:39, Train loss:0.2232, Time:0.3741462230682373s
Epoch:40, Train loss:0.2223, Time:0.37911272048950195s
Epoch:41, Train loss:0.2228, Time:0.36033058166503906s
Epoch:42, Train loss:0.2217, Time:0.37745237350463867s
Epoch:43, Train loss:0.2223, Time:0.3709850311279297s
Epoch:44, Train loss:0.2210, Time:0.37714576721191406s
Epoch:45, Train loss:0.2208, Time:0.37179994583129883s
Epoch:46, Train loss:0.2201, Time:0.3586137294769287s
Epoch:47, Train loss:0.2201, Time:0.3665482997894287s
Epoch:48, Train loss:0.2195, Time:0.38562607765197754s
Epoch:49, Train loss:0.2194, Time:0.4026312828063965s
Epoch:50, Train loss:0.2192, Time:0.4038698673248291s
Epoch:51, Train loss:0.2189, Time:0.3585505485534668s
Epoch:52, Train loss:0.2188, Time:0.37210893630981445s
Epoch:53, Train loss:0.2183, Time:0.37868189811706543s
Epoch:54, Train loss:0.2192, Time:0.36199116706848145s
Epoch:55, Train loss:0.2174, Time:0.37173938751220703s
Epoch:56, Train loss:0.2175, Time:0.3804142475128174s
Epoch:57, Train loss:0.2178, Time:0.37596821784973145s
Epoch:58, Train loss:0.2171, Time:0.37047576904296875s
Epoch:59, Train loss:0.2165, Time:0.36209893226623535s
Epoch:60, Train loss:0.2174, Time:0.37166619300842285s
Epoch:61, Train loss:0.2164, Time:0.36290431022644043s
Epoch:62, Train loss:0.2161, Time:0.3692917823791504s
Epoch:63, Train loss:0.2158, Time:0.37038326263427734s
Epoch:64, Train loss:0.2154, Time:0.37217116355895996s
Epoch:65, Train loss:0.2150, Time:0.3745534420013428s
Epoch:66, Train loss:0.2153, Time:0.3791520595550537s
