/opt/conda/lib/python3.7/site-packages/hydra/core/utils.py:207: UserWarning: 
Using config_path to specify the config name is deprecated, specify the config name via config_name
See https://hydra.cc/docs/next/upgrades/0.11_to_1.0/config_path_changes
  warnings.warn(category=UserWarning, message=msg)
2021-06-11 13:36:48.909787: I tensorflow/stream_executor/platform/default/dso_loader.cc:53] Successfully opened dynamic library libcudart.so.11.0
Epoch:1, Train loss:0.4369, Time:1.6133108139038086s
Epoch:2, Train loss:0.2902, Time:0.7775180339813232s
Epoch:3, Train loss:0.2419, Time:0.7532236576080322s
Epoch:4, Train loss:0.2112, Time:0.7524638175964355s
Epoch:5, Train loss:0.1901, Time:0.7523071765899658s
Epoch:6, Train loss:0.1675, Time:0.7528276443481445s
Epoch:7, Train loss:0.1509, Time:0.7501621246337891s
Epoch:8, Train loss:0.1352, Time:0.7579681873321533s
Epoch:9, Train loss:0.1233, Time:0.7550923824310303s
Epoch:10, Train loss:0.1116, Time:0.7563326358795166s
Epoch:11, Train loss:0.0979, Time:0.7517116069793701s
Epoch:12, Train loss:0.0895, Time:0.7407472133636475s
Epoch:13, Train loss:0.0808, Time:0.7524375915527344s
Epoch:14, Train loss:0.0814, Time:0.7539024353027344s
Epoch:15, Train loss:0.0754, Time:0.7465622425079346s
Epoch:16, Train loss:0.0733, Time:0.7485759258270264s
Epoch:17, Train loss:0.0555, Time:0.7480716705322266s
Epoch:18, Train loss:0.0796, Time:0.7489638328552246s
Epoch:19, Train loss:0.0680, Time:0.7458837032318115s
Epoch:20, Train loss:0.0744, Time:0.7529330253601074s
Epoch:21, Train loss:0.0642, Time:0.7489926815032959s
Epoch:22, Train loss:0.0516, Time:0.7458639144897461s
Epoch:23, Train loss:0.0530, Time:0.747288703918457s
Epoch:24, Train loss:0.0493, Time:0.743861198425293s
Epoch:25, Train loss:0.0502, Time:0.7441024780273438s
Epoch:26, Train loss:0.0606, Time:0.7467150688171387s
Epoch:27, Train loss:0.0428, Time:0.7489538192749023s
Epoch:28, Train loss:0.0539, Time:0.7461347579956055s
Epoch:29, Train loss:0.0452, Time:0.7457602024078369s
Epoch:30, Train loss:0.0381, Time:0.7482686042785645s
Epoch:31, Train loss:0.0390, Time:0.7427976131439209s
Epoch:32, Train loss:0.0432, Time:0.7507445812225342s
Epoch:33, Train loss:0.0372, Time:0.7449638843536377s
Epoch:34, Train loss:0.0436, Time:0.7479591369628906s
Epoch:35, Train loss:0.0359, Time:0.7469730377197266s
Epoch:36, Train loss:0.0357, Time:0.7463467121124268s
Epoch:37, Train loss:0.0344, Time:0.7417337894439697s
Epoch:38, Train loss:0.0296, Time:0.7446486949920654s
Epoch:39, Train loss:0.0351, Time:0.7489461898803711s
Epoch:40, Train loss:0.0379, Time:0.7496299743652344s
Epoch:41, Train loss:0.0358, Time:0.7455666065216064s
Epoch:42, Train loss:0.0296, Time:0.7452435493469238s
Epoch:43, Train loss:0.0309, Time:0.7460992336273193s
Epoch:44, Train loss:0.0304, Time:0.7467386722564697s
Epoch:45, Train loss:0.0407, Time:0.7443268299102783s
Epoch:46, Train loss:0.0253, Time:0.7514345645904541s
Epoch:47, Train loss:0.0275, Time:0.7481744289398193s
Epoch:48, Train loss:0.0262, Time:0.7470178604125977s
Epoch:49, Train loss:0.0269, Time:0.7452423572540283s
Epoch:50, Train loss:0.0302, Time:0.7473545074462891s
Epoch:51, Train loss:0.0302, Time:0.7466657161712646s
Epoch:52, Train loss:0.0290, Time:0.7487154006958008s
Epoch:53, Train loss:0.0212, Time:0.752448558807373s
